SCHL	gmajor	fod1p	_TYPE_	_FREQ_	p50adj_wagp	p25adj_wagp	p75adj_wagp	pop	meanadj_wagp	mean_grad_degree	mean_grad_degree_all	mean_employed_all	pct_ts	pct_tsg	p50r	p25r	p75r	pct_ts_all	pct_tsg_all
	Physical sciences	Chemistry	3	25661	84301.31388	50580.78833	132573.6344	2525083	114609.1483	0.644917415	0.619234648	0.96714112	0.011141175	0.34025536	84000	51000	133000	0.010700169	0.339664567
	Physical sciences	Geology and earth science	3	7820	73763.64965	47419.48906	111699.2409	737602	94448.85187	0.462422824	0.449787879	0.960795158	0.003254449	0.099391994	74000	47000	112000	0.003113787	0.098843579
	Physical sciences	Geosciences	3	760	77334.62006	50871.70371	116001.9301	70053	97666.51196	0.552967039	0.530561486	0.965646022	0.000309088	0.009439654	77000	51000	116000	0.000302632	0.009606712
	Physical sciences	Oceanography	3	837	72089.71317	43480.74922	108537.9416	77216	82933.75257	0.485404579	0.447450002	0.965601392	0.000340693	0.010404869	72000	43000	109000	0.0003207	0.010180263
	Physical sciences	Physics	3	12218	93483.61082	55043.99831	132573.6344	1204961	109985.0314	0.697840013	0.675722132	0.966379907	0.005316531	0.162368698	93000	55000	133000	0.004970226	0.157774115
	Physical sciences	"Nuclear, industrial radiology, and biological technologies"	3	1637	80364.23753	52688.32118	111917.7482	164261	93959.48542	0.491954877	0.483985434	0.968961672	0.000724753	0.022134197	80000	53000	112000	0.000673491	0.021379199
	Psychology and social work	Psychology	3	98948	53683.0142	35610.1926	81140.01461	10123502	68786.61966	0.48479459	0.462304212	0.954830538	0.04466693	0.787724863	54000	36000	81000	0.048774063	0.794270642
	Psychology and social work	Industrial and organizational psychology	3	1075	70656.21748	44035.19865	104583.5968	106260	86942.19563	0.44304536	0.435015822	0.932419705	0.000468841	0.00826825	71000	44000	105000	0.000500503	0.008150542
	Psychology and social work	Social psychology	3	500	53943.11834	38989.35767	82193.78103	47077	69319.54652	0.450453512	0.419759403	0.916099374	0.000207713	0.003663132	54000	39000	82000	0.000239069	0.003893169
	Psychology and social work	Human services and community organization	3	4311	42732.23112	30970.96973	60074.76098	441054	51821.81676	0.291948378	0.276072321	0.9381166	0.001946019	0.034319073	43000	31000	60000	0.002044626	0.033296101
	Psychology and social work	Social work	3	20541	46801.96741	34592.75852	64077.25662	2133678	53675.73812	0.487258621	0.45847217	0.95920405	0.009414217	0.166024683	47000	35000	64000	0.009849099	0.160389547
	Social sciences	Interdisciplinary social sciences	3	3369	51415.98595	35110.705	78342.42371	329016	65628.55187	0.36800034	0.349618115	0.95281566	0.001451685	0.019215734	51000	35000	78000	0.001560811	0.020639626
	Social sciences	General social sciences	3	5660	55043.99831	36132.79802	82858.5215	562319	68863.13283	0.349040313	0.333538647	0.948244068	0.002481065	0.032841479	55000	36000	83000	0.002713955	0.035888414
	Social sciences	Economics	3	46665	83429.59408	49553.55157	139173.1963	4788685	120488.0637	0.417560144	0.410911995	0.95698954	0.021128643	0.279676659	83000	50000	139000	0.020446705	0.270380254
	Social sciences	Anthropology and archeology	3	8683	52906.57186	34469.14494	82565.99746	846644	70912.63375	0.467134947	0.443179803	0.946888566	0.003735564	0.049447096	53000	34000	83000	0.004174075	0.055196546
	Social sciences	Criminology	3	3899	55043.99831	37935.59125	81526.40479	408814	66198.06523	0.225919367	0.225508404	0.957653199	0.00180377	0.023876228	55000	38000	82000	0.001690427	0.022353627
	Social sciences	Geography	3	6740	61046.04445	41714.79704	89171.27726	649220	73437.21337	0.302741752	0.297717251	0.952688926	0.002864489	0.037916814	61000	42000	89000	0.002826397	0.037375307
	Social sciences	International relations	3	6025	73090.95919	45654.78668	114970.0504	619117	98032.76575	0.531628109	0.508746277	0.952206257	0.002731669	0.03615869	73000	46000	115000	0.002790505	0.036900689
	Social sciences	Political science and government	3	55031	73763.64965	44258.18979	119075.6059	5563166	101194.1452	0.50886222	0.487526856	0.954101553	0.024545809	0.324909172	74000	44000	119000	0.023749133	0.31405043
	Social sciences	Sociology	3	32180	53029.45376	36132.79802	79352.36733	3239340	66974.22083	0.346485704	0.334701592	0.9534923	0.014292621	0.189189263	53000	36000	79000	0.015161167	0.200486098
	Social sciences	Miscellaneous social sciences	3	1214	68084.72911	44191.21147	104954.1272	115898	91093.86125	0.491276812	0.464677966	0.960866977	0.000511365	0.006768866	68000	44000	105000	0.000508861	0.00672901
Bachelors			4	1384953	57448.5749	37645.06074	88382.42293	144532757	72952.96305	0	0	0.955740882	1	1	57000	38000	88000	1	1
Graduate degree			4	834675	76091.31114	50062.30081	115914.3066	82111474	100746.9801	1	1	0.969051905	1	1	76000	50000	116000	1	1
Bachelors	Agriculture and natural resources		6	28354	52176.89906	32557.89037	79098.43528	2412023	63336.63995	0	0	0.970323134	0.016688418	1	52000	33000	79000	0.01516607	1
Bachelors	Architecture and engineering		6	130962	82193.78103	55043.99831	112289.7566	13480350	93697.61294	0	0	0.960041389	0.093268476	1	82000	55000	112000	0.082517353	1
Bachelors	Arts		6	56310	44035.19865	27175.46826	67150.6489	6111772	55044.94526	0	0	0.940233459	0.042286414	1	44000	27000	67000	0.04821504	1
Bachelors	Biology and life sciences		6	44796	54023.75602	35228.15892	81394.72593	4543140	66056.05483	0	0	0.954772827	0.03143329	1	54000	35000	81000	0.033679297	1
Bachelors	Business		6	383102	61941.93946	40697.36297	96656.23705	40476109	80899.04776	0	0	0.956269086	0.280047996	1	62000	41000	97000	0.26072612	1
Bachelors	Communications and journalism		6	70094	52842.23838	35508.44919	82565.99746	7466162	68470.60819	0	0	0.947441715	0.051657231	1	53000	36000	83000	0.052386881	1
Bachelors	"Computers, statistics, and mathematics"		6	84295	76094.69724	49539.59848	108134.5698	8949692	86863.54477	0	0	0.956287265	0.061921548	1	76000	50000	108000	0.056890388	1
Bachelors	Education		6	112280	43749.66519	32557.89037	57448.5749	11129791	49466.24406	0	0	0.964982733	0.077005319	1	44000	33000	57000	0.090531102	1
Bachelors	Health		6	102654	63225.98541	45056.07073	84301.31388	10770182	69429.9795	0	0	0.974632616	0.074517239	1	63000	45000	84000	0.075822153	1
Bachelors	Humanities and liberal arts		6	107647	48915.84287	31612.99271	76091.31114	11177939	63830.95561	0	0	0.945313328	0.077338447	1	49000	32000	76000	0.086035211	1
Bachelors	"Industrial arts, consumer services, and recreation"		6	36777	49715.1129	32666.75913	75093.45122	3829782	61528.39868	0	0	0.960618066	0.026497675	1	50000	33000	75000	0.0272686	1
Bachelors	Law and public policy		6	38721	54067.28488	36881.82482	79032.48176	4160689	63597.65582	0	0	0.954659888	0.02878717	1	54000	37000	79000	0.026396649	1
Bachelors	Physical sciences		6	31981	61046.04445	39048.59463	93574.79713	3536521	75605.62312	0	0	0.955468037	0.024468647	1	61000	39000	94000	0.024168616	1
Bachelors	Psychology and social work		6	63530	44191.21147	31038.6265	66286.8172	6707050	56060.96079	0	0	0.943793249	0.046405051	1	44000	31000	66000	0.051662704	1
Bachelors	Social sciences		6	93450	56903.38687	36881.82482	91569.06668	9781555	79044.02814	0	0	0.949029891	0.06767708	1	57000	37000	92000	0.068533816	1
Graduate degree	Agriculture and natural resources		6	10537	71088.46715	45784.53334	105130.8317	943640	87542.72933	1	1	0.977152314	0.011492182	1	71000	46000	105000	0.01084032	1
Graduate degree	Architecture and engineering		6	87212	103236.5658	71557.1978	143114.3956	8684597	122623.2504	1	1	0.968860905	0.105765937	1	103000	72000	143000	0.095513237	1
Graduate degree	Arts		6	18519	55958.87408	36044.85659	82412.16001	1806146	68696.90822	1	1	0.951804876	0.021996268	1	56000	36000	82000	0.026727837	1
Graduate degree	Biology and life sciences		6	73720	86961.49844	52688.32118	153190.6405	7155264	128358.7446	1	1	0.978233067	0.087140854	1	87000	53000	153000	0.084027745	1
Graduate degree	Business		6	119667	83666.87743	53392.67836	127179.2593	12275468	109776.8669	1	1	0.961618037	0.149497596	1	84000	53000	127000	0.140294639	1
Graduate degree	Communications and journalism		6	20672	66052.79797	44258.18979	99079.19696	2047191	83770.46292	1	1	0.959975402	0.024931851	1	66000	44000	99000	0.025689857	1
Graduate degree	"Computers, statistics, and mathematics"		6	43962	94838.97812	65080.99106	130442.2477	4526521	110990.6363	1	1	0.968148252	0.055126534	1	95000	65000	130000	0.053020957	1
Graduate degree	Education		6	106382	59658.13548	45848.3819	77061.59763	10086303	65449.88971	1	1	0.980088336	0.122836706	1	60000	46000	77000	0.135393839	1
Graduate degree	Health		6	59248	81465.1175	55239.01433	113560.2223	5900884	99223.74626	1	1	0.980118212	0.071864305	1	81000	55000	114000	0.071255352	1
Graduate degree	Humanities and liberal arts		6	91072	66133.21482	44191.21147	103236.5658	8628209	92006.51766	1	1	0.963542475	0.105079212	1	66000	44000	103000	0.111922237	1
Graduate degree	"Industrial arts, consumer services, and recreation"		6	13393	63225.98541	44191.21147	90112.14146	1312030	77144.60186	1	1	0.972722521	0.015978644	1	63000	44000	90000	0.016568992	1
Graduate degree	Law and public policy		6	13018	70456.31784	45424.08894	103236.5658	1375416	86439.34075	1	1	0.961970052	0.016750594	1	70000	45000	103000	0.015787881	1
Graduate degree	Physical sciences		6	39412	95011.10465	57245.75824	145660.5099	3884620	123833.8337	1	1	0.973418709	0.047309101	1	95000	57000	146000	0.044983552	1
Graduate degree	Psychology and social work		6	61845	60074.76098	42150.65694	86969.51733	6144521	76530.39346	1	1	0.966755907	0.074831454	1	60000	42000	87000	0.079321127	1
Graduate degree	Social sciences		6	76016	82858.5215	51633.3897	133206.4759	7340664	115801.864	1	1	0.961088831	0.089398761	1	83000	52000	133000	0.08865243	1
Bachelors	Agriculture and natural resources	General agriculture	7	4610	47559.18577	27175.46826	75093.45122	419668	58108.08742	0	0	0.972735172	0.002903619	0.173990049	48000	27000	75000	0.002663617	0.175629979
Bachelors	Agriculture and natural resources	Agricultural economics	7	1904	61941.93946	32067.05255	99430.2258	147407	79326.48474	0	0	0.977663708	0.001019886	0.061113431	62000	32000	99000	0.000853884	0.056302246
Bachelors	Agriculture and natural resources	Animal sciences	7	4883	45654.78668	27521.99915	71220.38519	399099	55238.56321	0	0	0.971537471	0.002761305	0.165462353	46000	28000	71000	0.002584115	0.170387912
Bachelors	Agriculture and natural resources	Food science	7	915	65221.12383	40262.26065	100124.6016	88238	80750.64242	0	0	0.953674033	0.000610505	0.03658257	65000	40000	100000	0.000633693	0.041783593
